date,BTC,XRP,LTC,ETH,GOLD,SILVER,LIBOR,SnP500,DAX,EURUSD,GBPUSD,USDCHF,R_F_TWE.
08-08-15,-0.068797381,0.038975344,-0.087747859,-1.302870908,0.002877369,-0.00307573,0.001321877,0.004260301,0.003300089,0.001157922,-0.00043389,0.000818566,-0.000958511
09-08-15,0.015534067,0.038421759,0.011308795,-0.070710072,0.002869113,-0.003085219,0.001320132,0.004242228,0.003289234,0.001156583,-0.000434078,0.000817896,-0.000959431
10-08-15,-0.002315188,-0.006606699,0.012817045,0.009289992,0.002860905,0.037586886,0.001318392,0.004224307,0.00327845,0.001155247,-0.000434267,0.000817228,-0.000960352
11-08-15,0.022122689,-0.018338557,0.051974901,0.410335263,0.001627061,-0.000523389,0.007874056,-0.009603065,-0.02717645,0.004726601,0.005874016,0.000203355,0.000997895
12-08-15,-0.014941645,-0.037959723,-0.042756666,0.131093648,0.013006517,0.012486343,0.003913899,0.000949604,-0.033222581,0.002272087,-7.83E-05,0.004625318,-0.012294199
13-08-15,-0.008656832,-0.015105659,-0.026727451,0.406291638,-0.006694657,-0.004988834,0.00389864,-0.001276026,0.008206304,0.010712168,0.002043587,-0.013099512,0.005186501
14-08-15,0.006040512,0.023053678,0.036907676,0.000109423,-0.002383588,-0.012154629,0.015444322,0.003904332,-0.00268096,0,0.000124864,0.000102527,0.001029068
15-08-15,-0.015663277,0.009906389,-0.025346912,-0.079073925,0.00158969,-0.000328785,0.005095552,0.001735634,-0.001360628,-0.002032056,0.000724972,0.00058079,0.000537006
16-08-15,-0.011706544,-0.012548716,0.006809086,-0.075533675,0.001587167,-0.000328893,0.005069719,0.001732627,-0.001362482,-0.002036194,0.000724447,0.000580452,0.000536718
17-08-15,-0.002056123,-0.001685123,0.007983672,-0.26321838,0.001584652,0.00623055,0.005044147,0.00172963,-0.001364341,-0.002040348,0.000723923,0.000580116,0.00053643
