"","CHF=X.Close"
"2014-09-17",0.9327
"2014-09-18",0.94229
"2014-09-19",0.93435
"2014-09-22",0.94017
"2014-09-23",0.93974
"2014-09-24",0.93937
"2014-09-25",0.94592
"2014-09-26",0.94659
"2014-09-29",0.952
"2014-09-30",0.9509
"2014-10-01",0.955
"2014-10-02",0.95612
"2014-10-03",0.9539
"2014-10-06",0.96776
"2014-10-07",0.95901
"2014-10-08",0.957
"2014-10-09",0.9514
"2014-10-10",0.95425
"2014-10-13",0.95618
"2014-10-14",0.9499
"2014-10-15",0.95503
"2014-10-16",0.9414
"2014-10-17",0.9427
"2014-10-20",0.9469
"2014-10-21",0.9431
"2014-10-22",0.9492
"2014-10-23",0.95405
"2014-10-24",0.95379
"2014-10-27",0.95165
"2014-10-28",0.9492
"2014-10-29",0.9466
"2014-10-30",0.9548
"2014-10-31",0.9561
"2014-11-03",0.9644
"2014-11-04",0.9647
"2014-11-05",0.9593
"2014-11-06",0.96447
"2014-11-07",0.9728
"2014-11-10",0.96532
"2014-11-11",0.9676
"2014-11-12",0.9644
"2014-11-13",0.967
"2014-11-14",0.9636
"2014-11-17",0.95958
"2014-11-18",0.9648
"2014-11-19",0.9585
"2014-11-20",0.95801
"2014-11-21",0.9583
"2014-11-24",0.9716
"2014-11-25",0.967
"2014-11-26",0.96355
"2014-11-27",0.96114
"2014-11-28",0.96464
"2014-12-01",0.9677
"2014-12-02",0.96469
"2014-12-03",0.9718
"2014-12-04",0.97715
"2014-12-05",0.9706
"2014-12-08",0.9782
"2014-12-09",0.97624
"2014-12-10",0.9704
"2014-12-11",0.96466
"2014-12-12",0.96925
"2014-12-15",0.96378
"2014-12-16",0.9651
"2014-12-17",0.9597
"2014-12-18",0.9733
"2014-12-19",0.9796
"2014-12-22",0.9842
"2014-12-23",0.98432
"2014-12-24",0.9876
"2014-12-25",0.986
"2014-12-26",0.9849
"2014-12-29",0.9883
"2014-12-30",0.9895
"2014-12-31",0.98854
"2015-01-01",0.99411
"2015-01-02",0.9941
"2015-01-05",1.0058
"2015-01-06",1.0062
"2015-01-07",1.0113
"2015-01-08",1.01474
"2015-01-09",1.01829
"2015-01-12",1.01182
"2015-01-13",1.0149
"2015-01-14",1.0195
"2015-01-15",1.01893
"2015-01-16",0.8544
"2015-01-19",0.8582
"2015-01-20",0.87967
"2015-01-21",0.87432
"2015-01-22",0.8605
"2015-01-23",0.8717
"2015-01-26",0.8811
"2015-01-27",0.9013
"2015-01-28",0.8992
"2015-01-29",0.907
"2015-01-30",0.9225
"2015-02-02",0.9213
"2015-02-03",0.9271
"2015-02-04",0.92475
"2015-02-05",0.926
"2015-02-06",0.922
"2015-02-09",0.9263
"2015-02-10",0.9246
"2015-02-11",0.9265
"2015-02-12",0.9287
"2015-02-13",0.92994
"2015-02-16",0.9317
"2015-02-17",0.93247
"2015-02-18",0.93614
"2015-02-19",0.9419
"2015-02-20",0.94943
"2015-02-23",0.9406
"2015-02-24",0.9506
"2015-02-25",0.9501
"2015-02-26",0.94851
"2015-02-27",0.9526
"2015-03-02",0.9543
"2015-03-03",0.9585
"2015-03-04",0.9608
"2015-03-05",0.9634
"2015-03-06",0.97363
"2015-03-09",0.9845
"2015-03-10",0.98719
"2015-03-11",0.9981
"2015-03-12",1.00905
"2015-03-13",1.0027
"2015-03-16",1.00665
"2015-03-17",1.0077
"2015-03-18",1.00563
"2015-03-19",0.9811
"2015-03-20",0.98974
"2015-03-23",0.9775
"2015-03-24",0.966
"2015-03-25",0.95957
"2015-03-26",0.96038
"2015-03-27",0.96318
"2015-03-30",0.96122
"2015-03-31",0.96736
"2015-04-01",0.9722
"2015-04-02",0.9662
"2015-04-03",0.95997
"2015-04-06",0.95214
"2015-04-07",0.95795
"2015-04-08",0.9656
"2015-04-09",0.96615
"2015-04-10",0.97697
"2015-04-13",0.97908
"2015-04-14",0.9772
"2015-04-15",0.97274
"2015-04-16",0.9648
"2015-04-17",0.95646
"2015-04-20",0.9514
"2015-04-21",0.9553
"2015-04-22",0.9546
"2015-04-23",0.9694
"2015-04-24",0.9553
"2015-04-27",0.95344
"2015-04-28",0.95521
"2015-04-29",0.95629
"2015-04-30",0.9403
"2015-05-01",0.9332
"2015-05-04",0.9333
"2015-05-05",0.93366
"2015-05-06",0.92719
"2015-05-07",0.91655
"2015-05-08",0.9217
"2015-05-11",0.93152
"2015-05-12",0.9345
"2015-05-13",0.92832
"2015-05-14",0.917
"2015-05-15",0.9126
"2015-05-18",0.9153
"2015-05-19",0.926
"2015-05-20",0.9371
"2015-05-21",0.9361
"2015-05-22",0.93696
"2015-05-25",0.9433
"2015-05-26",0.9455
"2015-05-27",0.9517
"2015-05-28",0.94979
"2015-05-29",0.943
"2015-06-01",0.9413
"2015-06-02",0.946
"2015-06-03",0.93341
"2015-06-04",0.93454
"2015-06-05",0.9346
"2015-06-08",0.94026
"2015-06-09",0.9274
"2015-06-10",0.93002
"2015-06-11",0.93213
"2015-06-12",0.9339
"2015-06-15",0.9298
"2015-06-16",0.92984
"2015-06-17",0.9317
"2015-06-18",0.9209
"2015-06-19",0.9213
"2015-06-22",0.91811
"2015-06-23",0.92119
"2015-06-24",0.9335
"2015-06-25",0.9335
"2015-06-26",0.93653
"2015-06-29",0.9405
"2015-06-30",0.9259
"2015-07-01",0.9347
"2015-07-02",0.94874
"2015-07-03",0.9434
"2015-07-06",0.9441
"2015-07-07",0.94293
"2015-07-08",0.94656
"2015-07-09",0.9456
"2015-07-10",0.9479
"2015-07-13",0.94003
"2015-07-14",0.9504
"2015-07-15",0.94487
"2015-07-16",0.9522
"2015-07-17",0.9571
"2015-07-20",0.9622
"2015-07-21",0.9634
"2015-07-22",0.958
"2015-07-23",0.9597
"2015-07-24",0.9593
"2015-07-27",0.9625
"2015-07-28",0.962
"2015-07-29",0.96163
"2015-07-30",0.96737
"2015-07-31",0.9683
"2015-08-03",0.9671
"2015-08-04",0.9692
"2015-08-05",0.9779
"2015-08-06",0.97904
